TagID,Total...10,Ghost.x,Total...9,Ghost.y,Notes,toCheck,2024Checking,2024Notes,ProposedGhostDate
230000228050,5,Flag,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Confirmed Ghost,Washed downstream but then no movement for a year. Porposed that 2023 high flows washed it DS,10/20/2020
230000228389,5,Flag,4,Flag,Not a ghost tag; recaptured in October 22,TRUE,Not a ghost tag; maybe check after mobile runs next year,Need more datapoints to confirm ghost,
230000228408,5,Flag,4,Flag,Not a ghost tag; moving around in the same pool,TRUE,Not a ghost,Need more datapoints to confirm ghost,
230000272076,5,Flag,4,Flag,Status unknown; lived near GP antenna for long time; moved down past red barn in November 21; two detections (4/22 and 10/22) in current location; not added to Ghost Tag list - need field confirmation,TRUE,Status unknown; lived near GP antenna for long time; moved down past red barn in November 21; two detections (4/22 and 10/22) in current location; not added to Ghost Tag list - need field confirmation,"Status unknown; lived near GP antenna for long time; moved down past red barn in November 21; two detections (4/22 and 10/22) in US location, then could have been blown DS in spring 2023 before 2024 detection; not added to Ghost Tag list - need field confirmation",
230000272337,5,Flag,4,Flag,Not a ghost tag; seen on RB antenna in July 2022 before mobile detectionin October 2022,TRUE,Confirmed Ghost,Instinct is to say this is a ghost tag now,10/19/2022
230000272539,5,Flag,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Confirmed Ghost,I think it's a ghost that has gradually washed downstream,
230000224158,4,Flag,3,Flag,Status unknown; only two detections in current location; not added to Ghost Tag list - need field confirmation,TRUE,Confirmed Ghost,"I'd say ghost, but not sure why it wasn't picked up on 2023 survey. ",4/18/2022
230000228369,4,Flag,3,Flag,"Not a ghost tag; recaptured in October 2021, detected with mobile antenna in October 22",TRUE,"Not a ghost tag; recaptured in October 2021, detected with mobile antenna in October 22. Upstream movement on mobile in 2024",,
230000228679,4,Flag,3,Flag,Not a ghost,TRUE,Likely ghost; add to file,probably hit HP and stuck on the way down during high flow may 2023,4/14/2021
230000228962,4,Flag,3,Flag,Not a ghost tag; last seen on RB antenna in October 2022,TRUE,Not a ghost; stationary antenna detections in 2024,,
230000272033,4,Flag,3,Flag,Uncertain; maybe some gps error,TRUE,"Not a ghost; would like to see 1 more datapoint, which would make 3 times in same location",,
230000272230,4,Flag,3,Flag,Not a ghost tag,TRUE,Confirmed Ghost,I propose it blew downstream in spirng 2023,10/19/2022
230000272360,4,Flag,3,Flag,Not a ghost tag,TRUE,Confirmed Ghost,"3 year srow in same place, was moving before that. ",10/19/2022
230000272685,4,Flag,3,Flag,Not a ghost tag,TRUE,Confirmed Ghost,Instinct is that is went DS in spring 2023 ,7/28/2021
230000272699,4,Flag,3,Flag,Not a ghost tag,TRUE,Confirmed Ghost,Instinct is that is went DS in spring 2023 ,10/20/2021
230000272870,4,Flag,3,Flag,Not a ghost tag,TRUE,Confirmed Ghost,Instinct is that is went DS in spring 2023 ,10/20/2021
230000272989,4,Flag,3,Flag,Not a ghost tag,TRUE,Confirmed Ghost,,10/19/2022
226001581253,3,Flag,NA,NA,NA,NA,Not a ghost tag; Could be sculpin camped out,,
226001581276,3,Flag,NA,NA,NA,NA,Not a ghost tag; Could be sculpin camped out,,
226001581289,3,Flag,NA,NA,NA,NA,Confirmed Ghost,small RBT released 4 years ago; has only moved 40 m and RBT antenna is just downstream. Maybe keep an eye on this though,10/21/2020
226001581292,3,Flag,NA,NA,NA,NA,Not a ghost tag; Could be sculpin camped out,,
226001581347,3,Flag,NA,NA,NA,NA,Not a ghost tag; Could be sculpin camped out,,
230000142593,3,Flag,NA,NA,NA,NA,Confirmed Ghost,Proposed that it washed DS in spring 2023,7/28/2021
230000142594,3,Flag,NA,NA,NA,NA,Confirmed Ghost,Proposed washed DS in Spring 2023,4/20/2022
230000142661,3,Flag,NA,NA,NA,NA,Confirmed Ghost,Proposed washed DS in Spring 2023,10/20/2021
230000142663,3,Flag,NA,NA,NA,NA,Confirmed Ghost,Proposed washed DS in Spring 2023,10/19/2022
230000142668,3,Flag,NA,NA,NA,NA,Confirmed Ghost,,10/19/2022
230000142825,3,Flag,NA,NA,NA,NA,Confirmed Ghost,,10/19/2022
230000142979,3,Flag,NA,NA,NA,NA,Confirmed Ghost,,10/19/2022
230000142988,3,Flag,NA,NA,NA,NA,Confirmed Ghost,,4/20/2022
230000142997,3,Flag,NA,NA,NA,NA,Confirmed Ghost,,10/18/2021
230000143018,3,Flag,NA,NA,NA,NA,"Not a ghost, would like to see more data; too far US movement to confirm in 2023",,
230000143053,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/17/2022
230000143070,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/17/2022
230000143221,3,Flag,NA,NA,NA,NA,Status unknown; went DS significant amount in 2024 when the water wasn't as high in 2023. It was in the fraser though,,
230000143499,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/19/2022
230000143514,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/17/2022
230000143653,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/19/2022
230000143666,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/19/2022
230000143677,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/19/2022
230000224064,3,Flag,NA,NA,NA,NA,"Not a ghost, has upstram movements",,
230000224071,3,Flag,NA,NA,NA,NA,"Not a ghost, has upstram movements",,
230000224086,3,Flag,NA,NA,NA,,Confirmed Ghost,probably swept DS in 2023 high flows,10/19/2022
230000224125,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/18/2021
230000224148,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/18/2021
230000224157,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/17/2022
230000224208,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/18/2021
230000224393,3,Flag,NA,NA,NA,NA,Not a ghost; has recaptures,,
230000224503,3,Flag,NA,NA,NA,NA,"Not a ghost, has stationary detections",,
230000228372,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,7/26/2021
230000228483,3,Flag,NA,NA,NA,NA,"Not a ghost, mobile data was upstream",,
230000228856,3,Flag,NA,NA,NA,NA,"Not a ghost, mobile data was upstream",,
230000228862,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,4/20/2022
230000229027,3,Flag,NA,NA,NA,NA,"Not a ghost, has extensive history and recapture",,
230000272034,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/20/2021
230000272066,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,7/28/2021
230000272117,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/20/2021
230000272279,3,Flag,NA,NA,NA,NA,Likely ghost; add to file,mobile surveys are all DS of each other,10/20/2021
230000272287,3,Flag,NA,NA,NA,NA,"Not a ghost, has good history",,
230000272297,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/20/2021
230000272308,3,Flag,NA,NA,NA,NA,Likely ghost; add to file,mobile surveys are all DS of each other,10/19/2022
230000272332,3,Flag,NA,NA,NA,NA,"Not a ghost, has good history",,
230000272381,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/19/2022
230000272391,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,4/20/2022
230000272472,3,Flag,NA,NA,NA,NA,Confirmed Ghost,mobile surveys are all DS of each other,7/28/2021
230000272502,3,Flag,NA,NA,NA,NA,Confirmed Ghost,mobile surveys are all DS of each other,4/20/2022
230000272542,3,Flag,NA,NA,NA,NA,Likely ghost; add to file,"mobile surveys are all DS of each other, no movement in 2024. likely washed DS in spring 2023",10/19/2022
230000272552,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/19/2022
230000272651,3,Flag,NA,NA,NA,NA,"Not a ghost, has good history",,
230000272671,3,Flag,NA,NA,NA,NA,"Not a ghost, data is upstream movements",,
230000272682,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/20/2021
230000272733,3,Flag,NA,NA,NA,NA,"Not a ghost, has good history",,
230000272745,3,Flag,NA,NA,NA,NA,"Not a ghost, would like to see more data",,
230000272832,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,7/28/2021
230000272961,3,Flag,NA,NA,NA,NA,Confirmed Ghost,3 mobile surveys in same spot,10/19/2022
