Suspect Ghost Tags,,2/27/2024,,,,,,,,,,,
,,,,,,,,,,,,,
Total,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Fall 2022,Summer 2023,,,,,,
230000228464,0,1,1,1,0,1,1,5,Flag,Confirmed Ghost,,,
230000228465,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000228494,1,1,0,1,0,1,0,4,Flag,Confirmed Ghost,,,
230000228607,0,1,1,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000228689,0,1,1,0,1,1,1,5,Flag,Confirmed Ghost,,,
230000228789,0,1,1,1,1,0,1,5,Flag,Confirmed Ghost,,,
230000228790,0,1,1,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000228842,1,0,1,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000228911,0,1,0,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000228918,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000228925,0,1,1,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000228931,0,1,1,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000229034,0,1,1,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000229049,1,1,1,0,0,1,0,4,Flag,Confirmed Ghost,,,
230000229053,0,1,1,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000229055,0,1,1,1,0,1,1,5,Flag,Confirmed Ghost,,,
230000229056,0,1,1,1,0,1,1,5,Flag,Confirmed Ghost,,,
230000229068,0,1,1,1,1,0,1,5,Flag,Confirmed Ghost,,,
230000229075,1,1,0,1,1,0,0,4,Flag,Confirmed Ghost,,,
230000272020,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272037,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272094,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000272096,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000272112,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272225,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000272261,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272371,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272453,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272465,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000272561,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272612,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272635,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272652,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272677,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272680,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272715,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272756,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000272788,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000272858,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000142518,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000142519,0,0,1,1,0,1,0,3,Flag,"Confirmed Ghost; Likely injured during tagging, swam upstream and died (ghost tag date of 7-28-21); runoff moved tag over antenna in May 2023",,,
230000142521,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000142546,0,0,1,1,1,0,0,3,Flag,"Confirmed Ghost; Likely injured during tagging, swam upstream and died (ghost tag date of 7-28-21); runoff moved tag over antenna in May 2023",,,
230000142570,0,0,1,1,1,0,0,3,Flag,"Confirmed Ghost;Likely injured during tagging, swam upstream and died (ghost tag date of 7-28-21); runoff moved tag over antenna in May 2023",,,
230000142636,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000142644,0,0,1,1,1,0,1,4,Flag,Confirmed Ghost,,,
230000142669,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000142676,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000142713,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000142998,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224014,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000224053,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224069,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000224092,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000224113,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224187,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000224209,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000224214,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224236,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224243,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224263,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224319,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224372,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224447,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000224474,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000224550,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000224583,0,1,0,1,1,0,1,4,Flag,Confirmed Ghost,,,
230000224585,0,1,1,0,1,0,0,3,Flag,Confirmed Ghost,,,
230000228007,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000228056,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000228081,1,1,0,0,1,0,0,3,Flag,Confirmed Ghost,,,
230000228343,1,0,1,0,1,0,1,4,Flag,Confirmed Ghost,,,
230000228394,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000228437,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000228449,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000228461,0,1,0,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000228683,0,1,0,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000228729,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000228793,0,1,1,0,1,0,1,4,Flag,Confirmed Ghost,,,
230000228794,1,0,0,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000228872,0,1,1,0,0,1,1,4,Flag,Confirmed Ghost,,,
230000228884,0,1,1,0,1,0,0,3,Flag,Confirmed Ghost,,,
230000229023,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000229059,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000229060,1,0,1,0,1,0,0,3,Flag,Confirmed Ghost,,,
230000272011,0,0,1,1,1,0,1,4,Flag,Confirmed Ghost,,,
230000272030,0,0,1,0,1,1,0,3,Flag,Confirmed Ghost,,,
230000272052,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000272056,0,0,1,0,1,1,1,4,Flag,Confirmed Ghost,,,
230000272108,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000272131,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272143,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272147,0,0,1,1,1,0,1,4,Flag,Confirmed Ghost,,,
230000272178,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272184,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272188,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272195,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272226,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272232,0,0,1,0,1,1,0,3,Flag,Confirmed Ghost,,,
230000272239,0,0,1,0,1,1,0,3,Flag,Confirmed Ghost,,,
230000272242,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000272245,0,0,1,1,1,0,1,4,Flag,Confirmed Ghost; Likely injured during tagging and died by 7-28-21 (ghost tag date); high spring flows moved tag past antenna to new location in 2023,,,
230000272258,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272284,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272294,0,0,0,1,1,1,1,4,Flag,Confirmed Ghost,,,
230000272316,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272317,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272320,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272341,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272385,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272418,0,0,1,0,1,1,0,3,Flag,Confirmed Ghost,,,
230000272422,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272442,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272448,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272544,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272569,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272583,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272622,0,0,1,0,1,1,1,4,Flag,Confirmed Ghost,,,
230000272636,0,0,1,1,1,0,0,3,Flag,Unsure; Hard to tell if the second upstream movement is GPS error; last detection in 2022 suggests it could still be alive and has moved to where either we couldn't detect it or out of the system; not sure we can call this a ghost tag given the data,,,
230000272643,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272695,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272698,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272705,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272710,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272716,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272754,0,0,1,0,1,1,0,3,Flag,Confirmed Ghost,,,
230000272760,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272768,0,0,1,0,1,1,0,3,Flag,Confirmed Ghost,,,
230000272781,0,0,1,1,1,0,1,4,Flag,Confirmed Ghost,,,
230000272787,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272800,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272811,0,0,0,1,1,1,0,3,Flag,Confirmed Ghost,,,
230000272834,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272848,0,0,1,1,0,1,0,3,Flag,Confirmed Ghost,,,
230000272861,0,0,1,1,1,0,0,3,Flag,Confirmed Ghost,,,
230000272866,0,0,1,1,1,0,1,4,Flag,Confirmed Ghost,,,
230000272886,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000272927,0,0,1,1,0,1,1,4,Flag,Confirmed Ghost,,,
230000142591,0,0,0,1,0,1,1,3,Flag,Confirmed Ghost,,,
230000142659,0,0,1,1,0,0,1,3,Flag,Confirmed Ghost,,,
230000142981,0,0,0,1,0,1,1,3,Flag,Confirmed Ghost,,,
230000224017,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000224033,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000224096,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000224097,0,0,0,1,0,1,1,3,Flag,Confirmed Ghost,,,
230000224122,0,0,0,1,1,0,1,3,Flag,Confirmed Ghost,,,
230000224176,0,0,0,1,1,0,1,3,Flag,"Confirmed Ghost; tag likely spawned out in October 2021 between release date and mobile run date (""movement"" after this point likely GPS error) - ghost tag date of 10-18-2021",,,
230000224189,0,0,0,1,0,1,1,3,Flag,Confirmed Ghost,,,
230000224259,0,0,0,1,1,0,1,3,Flag,Confirmed Ghost,,,
230000224349,0,0,0,1,1,0,1,3,Flag,Confirmed Ghost,,,
230000224384,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000228040,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000228060,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000228441,0,0,1,0,0,1,1,3,Flag,Confirmed Ghost,,,
230000228445,0,0,0,1,1,0,1,3,Flag,Confirmed Ghost,,,
230000228490,0,0,0,1,1,0,1,3,Flag,Confirmed Ghost,,,
230000228510,1,1,0,0,0,0,1,3,Flag,Confirmed Ghost,,,
230000228545,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000228572,0,1,0,1,0,0,1,3,Flag,Confirmed Ghost,,,
230000228797,0,0,1,1,0,0,1,3,Flag,Confirmed Ghost,,,
230000228805,0,0,0,1,1,0,1,3,Flag,Confirmed Ghost,,,
230000228886,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000272071,0,0,1,1,0,0,1,3,Flag,Confirmed Ghost,,,
230000272159,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000272238,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000272251,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000272254,0,0,1,0,0,1,1,3,Flag,Confirmed Ghost,,,
230000272365,0,0,1,0,0,1,1,3,Flag,Confirmed Ghost,,,
230000272429,0,0,1,0,0,1,1,3,Flag,Confirmed Ghost,,,
230000272538,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000272621,0,0,0,1,1,0,1,3,Flag,Confirmed Ghost,,,
230000272639,0,0,0,1,0,1,1,3,Flag,Confirmed Ghost,,,
230000272660,0,0,0,1,0,1,1,3,Flag,Confirmed Ghost,,,
230000272812,0,0,0,0,1,1,1,3,Flag,Confirmed Ghost,,,
230000272891,0,0,1,1,0,0,1,3,Flag,Confirmed Ghost,,,
230000272938,0,0,0,1,0,1,1,3,Flag,Confirmed Ghost,,,
230000228444,1,1,1,1,0,1,1,6,Flag,"Confirmed Ghost; however, flag as avian predation prior to becoming ghost (moved from RB to CF on same day in one hour in June 2021); avian predation suspected on 6/3/2021",,,
230000228702,0,1,1,1,0,0,0,3,Flag,"Likely ghost; added to ghost tag list, but field confirmation needed",,,
230000228813,0,1,1,1,0,0,1,4,Flag,"Likely ghost; added to ghost tag list, but field confirmation needed",,,
230000228933,0,1,1,1,0,0,1,4,Flag,"Likely ghost; added to ghost tag list, but field confirmation needed",,,
230000142525,0,0,1,1,1,1,0,4,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000228397,1,1,0,0,1,1,1,5,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000228967,0,0,1,1,1,1,0,4,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000229031,0,1,0,1,1,1,1,5,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
226001581297,1,1,0,1,0,0,1,4,Flag,"Likely ghost; Hard to tell with sculpin, but given that it has been in our shocking site since it's release and never recaptured, I would call this a ghost tag as of 10-19-20",,,
226001581442,1,0,0,1,1,0,0,3,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
226001581525,0,0,1,1,0,1,1,4,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000224301,0,0,0,1,1,1,0,3,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000224311,0,0,0,1,1,1,1,4,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000224336,0,0,0,1,1,1,0,3,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000228088,0,1,0,0,1,1,0,3,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000272084,0,0,1,1,0,1,1,4,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000272452,0,0,1,1,1,0,0,3,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000272503,0,0,1,1,1,0,0,3,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000272578,0,0,1,0,1,1,0,3,Flag,"Likely ghost; added to ghost tag list, but field confrimation needed",,,
230000228848,1,1,1,1,1,1,1,7,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000228836,0,1,1,1,1,1,1,6,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000229014,0,1,1,1,1,1,0,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000142516,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000228787,0,0,1,1,1,1,0,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000229030,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000229070,0,1,1,1,1,0,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272103,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272139,0,0,1,1,1,1,0,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272290,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272372,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272659,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272664,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272758,0,0,1,1,1,1,1,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000142618,0,0,1,0,1,1,0,3,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000228050,1,1,0,0,1,0,1,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000228993,1,1,0,0,0,1,0,3,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272277,0,0,1,1,0,1,1,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272533,0,0,1,0,1,1,1,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272539,0,0,1,1,0,1,1,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272556,0,0,1,1,1,0,1,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272701,0,0,1,1,1,0,1,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272774,0,0,1,1,0,1,0,3,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272909,0,0,1,1,1,0,0,3,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000272949,0,0,1,1,1,0,1,4,Flag,Likely Ghost; Big fish when tagged; upstream movement after release likely back to capture location and probably spawned in that same location shortly after being tagged (ghost tag date of 7-28-21); ghost tag downstream movement due to high flows between 4-20-22 and 7-26-23,,,
230000272993,0,0,1,1,1,0,1,4,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,,,
230000228630,0,1,0,1,1,0,0,3,Flag,Not a ghost tag: last seen October 22 at HP site,,,
230000142562,0,0,1,1,1,1,1,5,Flag,"Not a ghost tag; detected in different locations on each mobile run; detected on WG biomark antenna on 10/3/21, and 1010 m downstream on 10/19/22",,,
230000224139,0,0,0,1,1,1,0,3,Flag,Not a ghost tag; detected on CF antenna in May 22 prior to mobile detection in October 22,,,
230000272348,0,0,1,1,1,0,0,3,Flag,Not a ghost tag; dowstream movement in October 2021 followed by upstream movement in 2022,,,
230000272199,0,0,0,1,1,1,0,3,Flag,Not a ghost tag; fish moved upstream over a small structure between April 2022 and October 2022,,,
230000228316,1,1,1,0,1,1,0,5,Flag,"Not a ghost tag; fish moves around in same pool as release, but recaptured in both October 2021 and October 2022",,,
230000142528,0,0,0,1,1,1,0,3,Flag,Not a ghost tag; in a new location in October 2022,,,
230000224304,0,0,0,1,1,1,0,3,Flag,Not a ghost tag; last seen on CF anetnna in October 2022,,,
230000228772,0,0,1,1,1,0,0,3,Flag,Not a ghost tag; last seen on HP antenna in July 2022,,,
230000228809,1,1,1,0,0,0,0,3,Flag,Not a ghost tag; last seen on RB antenna in July 2022,,,
230000272097,0,0,1,1,1,0,0,3,Flag,Not a ghost tag; last seen on RB antenna in July 2022,,,
230000272114,0,0,1,1,1,0,0,3,Flag,Not a ghost tag; last seen on RB antenna in July 2022,,,
230000228806,1,0,1,1,0,0,0,3,Flag,Not a ghost tag; last seen on RB antenna in November 21,,,
230000228962,0,0,1,0,1,1,0,3,Flag,Not a ghost tag; last seen on RB antenna in October 2022,,,
230000228749,1,0,0,1,0,1,0,3,Flag,Not a ghost tag; last seen on WG biomark antenna in Ocotber 2022,,,
230000228468,1,1,1,1,0,0,0,4,Flag,Not a ghost tag; lots of movement (through dam) past all stationary sites in late 2021 through spring 2022,,,
230000228569,1,1,1,0,0,0,0,3,Flag,Not a ghost tag; moved upstream from CF through River Run; last seen in July 2021,,,
230000228557,1,0,1,1,0,0,0,3,Flag,Not a ghost tag; movement through the dam; last seen on HP antenna in April 2022,,,
230000228704,0,0,0,1,1,1,1,4,Flag,Not a ghost tag; movement through the dam; seen on biomark antenna and later downstream on a mobile run in October 2022,,,
230000142520,0,0,1,1,1,0,0,3,Flag,Not a ghost tag; movement up and downstream; recaptured and last seen on 5/2/22,,,
230000228760,0,1,0,1,1,1,0,4,Flag,Not a ghost tag; movement upstream and dowstream across mobile runs; recaptured in May 2022; upstream movement in October 2022 from recap location,,,
230000272794,0,0,1,1,1,1,0,4,Flag,Not a ghost tag; movement upstream to RB site on 10/22/22,,,
230000228565,1,1,1,0,0,0,1,4,Flag,Not a ghost tag; moves around in River Run; last seen in July 2021,,,
230000228416,0,1,0,1,1,0,0,3,Flag,Not a ghost tag; moving around in River Run,,,
