TAG,Reason,Opinion,Proposed predation date,Last Date Detected,maybe check the .txt files to double check
230000228364,Some missed hp3 detections but again during the period of incosistency on hp3 may 2022. Took 3 days to go from RB to WG1 but seuqnces make sense,No,,,
230000272464,lots of activity but recapped 4different times. Sequences all make sense,No,,,
230000272798,went from HP4 to CF5 in 1 day 2021-09-29 to 9-30…but was recaptured twice since then. ,No,,,
230000228686,"went from rb2 to hp3 in a day, but was recapped after that",No,,,
230000228929,"went through the dam in septemeber 2021, wg2 to cf and also before that had some quick detections between HP3 and RB2 in  aday but we know that's possible. Sequences make sense",No,,,
230000143362,"went above dam but used channel, recapped twice, sequences all make sense",No,,,
230000143683,Multiple trips through the channel,No,,,
230000224079,Active below the dam but sequences make sense,No,,,
230000228623,made it from RB2 to WG2 in 1 dayfrom 2021-9-19 to the 20th. Sequences make sense though,No,,,
230000228847,"lots of movement between HP and RB, sequences make sense though",No,,,
230000272687,"Released at dark timber above railroad, then one cf5 detection then nothing",Yes,5/18/2021,5/18/2021,
230000272515,"Released at dark timber above railroad, then 3 cf detections then nothing. Almost a year between those though",Yes,4/13/2022,4/15/2022,
230000224258,"released from upper river run, recapped at kaibab",No,,,
230000228246,"released at kaibab, lower river run recap. Then CF detections",No,,,
230000229037,"Kinney creek release, one cf5 dtection next spring, nothing after",Yes,5/12/2021,5/12/2021,
230000144453,"Kinney creek release, one cf6 detection 2 days later, nothing after",Yes,6/7/2023,6/7/2023,
230000228968,"Below rb diversion release site, then only other detection is in 2023 on a mobile run in the fraser river…",Yes; also probably a ghost tag now,7/25/2023,,
230000228295,"Kaibab release, Mobile detection at confluence",No,,,
230000228628,Rb1 to CF6 in 3 days. Sequences beofre that make sense,Yes,4/24/2021,4/24/2021,
230000272104,RB2 to CF5 in 12 hours,Yes,5/6/2021,5/6/2021,
230000272587,"RB1 to cf 5 in 2 days, nothing after 6 days total existence",Yes,5/7/2021,5/10/2021,
230000272395,RB1 to cf5 with 20 days in between with no HP in btween. Then cf5 to rb2 with no hp in ntween. No detections after a few weeks of existence,Yes,5/26/2021,5/28/2021,
230000228444,"Also ghost tag, but before that went between RB and CF twice",Yes,6/3/2021,6/8/2021,
230000228557,"Went DS from upper river run to RB1 in sequence, but then appeared at cf5 and hung out at HP for  a few days. No detections after that",Yes,4/18/2022,4/26/2022,
230000143602,RB2 to CF back to RB over the course of 2 days,Yes,11/5/2022,11/7/2022,
230000143693,"RB1 to cf6 in 4 days, no other detections after that",Yes,4/22/2023,4/26/2023,
230000272929,"released at sheriff ranch below red barn antenna but then hit Hp a few weeks later (first hp4, then hp3), skiping refd barn. And that's the whole history",No,5/24/2021,,
230000143121,Kaibab release to 1 hp3 detection 6 months later. No other detections,Yes,4/20/2023,4/20/2023,
230000228178,"kaibab release and recapture, then HP detectoins without hitting CF in april 2023…then no more after that. discussed with ER and EF, decided maybe not predatoin",No,4/22/2023,,
230000224205,"Upper river run detections then red barn ones, missing HP…hp3 was sporadic during that time it would have swam by but not hp4. ",Yes,6/5/2022,6/5/2022,
230000228515,"Upper river run release then rb1, and rb2 detections a month later. Nothing else. ",Yes,11/3/2020,10/20/2020,
230000143516,"Upper river run release then rb1, and rb2 detections a20 days later.",Yes,10/24/2022,10/24/2022,
230000143000,"Upper river run release then rb2, and rb1 detections 8 months later. Nothing else. ",Yes,6/5/2023,6/5/2023,
230000144350,upper river runrelease then rb1 and rb2 detections next spring 2023. nothing else,Yes,5/22/2024,5/22/2024,
230000143044,"lower river run release, then mobile detections, then straight to RB",Yes,11/5/2022,11/5/2022,
230000143079,lower river run release then mobile detections then straight to RB just for 1 day,Yes,10/30/2022,10/30/2022,
230000224163,"lower river run release, then rb2, then hp3. no more",Yes,4/13/2022,4/14/2022,
230000143965,"lower river run release to rb, nothing else",Yes,3/19/2024,3/19/2024,
230000224407,Fraser River ranch release to RB then hp4 then nothring,Yes,9/11/2021,9/11/2021,
230000143809,Fraser River ranch to RB2 then nothing,Yes,10/9/2023,10/9/2023,
230000228268,"Kaibab release to GD to CF, all in sequence",No,,,
230000228313,kaibab release to cf to hp to rb in 2020,No,,,
230000228315,"kaibab release to cf to hp to rb in 2021, seuqnces make sense honestly",No,,,
230000228240,"kaibab release to CF 5, missed cf 6…no other detections",No,,,
230000228261,kaibab release to cf then no more detections,No,,,
230000224298,kaibab to cf to hp to rb over the course of 2 motnhs…some individual deections out of order but hp3 was sporadic during one of thse periods of expected detections. ,No,,,
230000224417,kaibab to cf,No,,,
230000224420,kaibab to cf to hp to rb but over the course of a few months and squences make sense,No,,,
230000143133,kaibab to cf6,no,,,
230000143852,kaibab to cf then into the channel,No,,,
230000143918,"kaibab, then cf5 to rb1 in a day ",Yes,4/5/2024,4/6/2024,
230000143888,kaibab to cf5 (missed cf6) then used the channel in sequence and hit hp4 just 2 hrs after cd1. It was right as dischharge was increasing in april 2024 though so it could have been totally flying downstream,No,,,
230000228909,"Hp to cf in 20 days in 2020; cf to rb1 in 1.5 days end of oct 2020, then back to hp4…I'd say predated except then there's more hp detections spring 2023. later mobile detections too",No,,,
230000143117,kaibab to cf to cu,No,,,
230000228862,"Upper red barn fry site release , hp3 to cf5 to rbin 2 days. Even checked .txt files to see if it was in the cf5 files bc makes no sense…but ti was in there. ",Yes,4/13/2021,4/15/2021,
230000228415,"sped from CF to RB in a day missing HP in spring 2021…not inconceivable that it missed them on the way down. discussed with ER and EF, decided maybe yes predatoin",Yes,4/18/2021,4/19/2021,
226001581545,"hung out on confluence then went to RB2 in 2 weeks while missing H and RB1, as a sculpin? Don't think so",Yes,5/27/2021,5/27/2021,
230000143146,hit cf 6 ( not cf5 or hp) then went to rb,Yes,4/15/2023,4/20/2023,
230000143746,"CF to RB in 5 days 2023, missing HP (though hp3 was down during this period)…also kind of a big fish (325) for predation",Yes,9/13/2023,9/14/2023,
230000143995,"hp to cf to rb in a week in 2024, missing the channel antennas…no more detections after that…textbook avian predation",Yes,3/11/2024,3/18/2024,
230000224281,"GD1 to cf with a recap in between, sequence makes sense",No,,,
230000143206,went from fraser river ranch to GD1,No,,,
230000228026,"Fraser river ranch up to GD1, recapped later at FRR",No,,,
230000224465,"Sheriff ranch upper field to HP3 a year later. missed rb, no other detections. ",Yes,4/11/2022,4/11/2022,
230000228078,FRR to Hp3 then hp3 all over 3 days. No other detections. Slightly possible cf5 wasn't working correctly but should have at least hit cf6,Yes,9/4/2020,9/4/2020,
226001581711,"FRR to HP, hung out on hp for a couple days. No other detections after hp detections. ",No,5/13/2021,,
230000143234,"FRR to HP, then back upstream using the channel when it was built. HP3 was broken during expected detections. Good example of a fish thhat is definitely alive but missed CF on the way down. ",No,,,
230000228675,"solid at HP then deteted mobile run back above the dam, above CF on the fraser. Would have had to miss CF on the way upstream …probably ghost now but seeminlgy predated to tget there",Yes,7/25/2023,7/25/2023,
230000142513,all mobile detections…somehow missed rb and HP ….also already designated as a ghost tag,"probably, but it's aready a ghost",,,
230000143637,"missed HP from RB to CD, but was recapped ater. Was probably when HP was down fall 2023",No,,,
230000087461,"missed HP from cd to rb spring 2024, but went back US in sequence later and was recapped",No,,,
230000224578,went US from relase to rb to HP,No,,,
230000224553,went US from relase to rb to HP,No,,,
230000224548,went US from release to Rb,No,,,
230000229085,went US from release to Rb,No,,,
230000229005,went US from release to Rb,No,,,
230000224584,went US from release to Rb,No,,,
230000224427,went US from release to Rb,No,,,
230000224426,went US from release to Rb,No,,,
230000224561,went US from release to Rb,No,,,
230000224421,went US from release to Rb,No,,,
230000229092,went US from release to Rb,No,,,
230000272729,"stayed around rb and below, recapped below red barn",No,,,
230000144427,went US from release to Rb,No,,,
230000224573,went US from release to Rb,No,,,
230000144411,went US from release to Rb,No,,,
230000144426,went US from release to Rb,No,,,
230000144432,went US from release to Rb,No,,,
230000087456,went US from release to Rb,No,,,
230000228703,"windy gap release fall 2020, then missed hp to rb, then hit just rb3 once. So 3 total events. discussed with ER and EF, decided maybe yes predatoin",Yes,11/3/2020,11/5/2020,
230000228610,"windy gap release fall 2020, then missed hp to rb1. no other detections, 2 total events. discussed with ER and EF, decided maybe yes predatoin",Yes,11/10/2020,11/10/2020,
230000272431,"rb1 to WG2 in 17 hours…missed Hp on the the way. Can definitely get from RB to hp in 6-7 hours but weird it would miss it fall 2021. discussed with ER and EF, decided maybe not predatoin",No,,,
230000143606,Windy gap release 2023 to RB next spring 2024. missed hp ,No,4/17/2023,,
230000144237,Windy gap release 2022 to RB next spring 2023. missed hp ,No,3/31/2024,,
230000224556,released to US to Rb. Potential ghost tag,No,,,potential ghost tag
230000228969,"went from WG1 to RB1 over 4 motnhs april to august 2022. Missed HP. Also hit RB1 before RB2. discussed with ER and EF, decided maybe not predatoin",No,8/5/2022,,
230000143695,"Wg to Rb, hit rb1 first.missed HP. Just 4 hrs bwteen Wg1 and RB1. discussed with ER and EF, decided maybe not predatoin",No,10/24/2022,,
230000228856,"hung out around red barn, then detected mobile by the dam sumer 2023 3 years later. Would have missed HP on the way up",ghost tag,7/26/2023,,
230000224436,went from below rb to WG1 in sequence,No,,,
230000228301,Kaibab all the way to HP but in seuqence,No,,,
230000228495,"just quick detections between mobile runs, then recapped",No,,,
230000143398,"quick readings between mobile, recapped later",No,,,
230000224191,"went from CF to rb, missed hp4. only 23 min between HP and rb..sequence makes sense though, I think it's just a fast fish",No,,,
230000144327,fast from HP to RB but sequence makes sense. 26 min from hp to rb in fall 2023,No,,,
230000087407,Merganser tag,techinically no,,,
230000144293,15 min from CU to CF in fall 2023. Big fish and sequence makes sense though,No,,,
230000144255,quickly from cd to cs2. this fish might have some missed detectoins bc crosstalk. ,No,,,
230000144208,30 min from CU to CF. Sequence makes sense though,No,,,
230000087688,went from lower river run to rb2 (rb1 not working during this time) in a day but hit all antennas,No,,,
230000144365,went from upper river run to rb2 (rb1 not working during this time) in a day but hit all antennas,No,,,
230000228701,"Not sure what G1 si here, but this tag has hit all the right sequences",No,,,
230000142512,"Lots of hanging out on antennas, sequences make sense",No,,,
230000228468,extensive 4 year history,No,,,
226001581206,frr to CU then cd to cf in 1 day,Yes,7/20/2024,7/22/2024,
226001581713,"CF 6 to cs1, then cs1 to cu in a day. Too much for sculpin",Yes,6/12/2024,6/27/2024,
226001581386,CF to rb in a day,Yes,7/15/2021,8/12/2021,
226001581431,"Sculpin released at LRR, missed CF and hit WG1 through the dam..not sure about that",Yes,5/29/2022,5/29/2022,
230000143830,Hit CF and CU 1 second apart which is strange for even predated tags. But it skipped from CD to CF one too many times and way too fast. Fish was all over the place for its last week of detections.,Yes,10/20/2024,10/23/2024,"yes, tag was seeminlgy detected 1 second apart at CU and CF. Showed up on .txt files"
230000143760,hung out on Cf then hit CU. Then right to red barn and back to cf in a day,Yes,3/16/2025,3/16/2025,
230000087963,lots of CD to CF movements but all in sequence over expected timeframes. Rechecked fall 2025 and same story. ,No,,,
230000294121,"not much time on each antenna, all over the place missing antennas since release, not seen after 10 days",Yes,5/6/2025,5/13/2025,
230000143813,Lots of movement through channel across history but hit all expected antennas in sequence each time except 1 during a runoff period,No,,,
230000294213,"Lots of movement but can be explained as exploratory before settling at the CD antenna. No missed antennas, just a fast moving fish.",No,,,
230000087817,"Hung out on CU for many hours, all sequencing makes sense, no skips or super quick antenna jumps",No,,,
230000226118,"Stayed on CU antenna for months, never wandered farther than CS or CF ",No,,,
230000224220,"Anomalous movement at the beginning of the tags life (CF to HP), but eventually settles into a normal routine at CU until it's last detection in Oct 2025",No,,,
230000087466,Anomalous movement (CF to CD) but other than that no skips or unreasonable time jumps.,No,,,
230000087470,Movement is far to fast on average for a decently small brown trout. Anomalous movement detected as well (CF to HP To CF),Yes,5/7/2025,5/16/2025,
230000087485,"Missed CU and went from CF to 40 minutes. Bu the tag looks entirely normal after that point, survives up to Dec 2025",No,,,
230000087746,"Went from CU to CD in 25 minutes, but other than that the tag in normal detecting until Oct 2025",No,,,
230000087792,"Very anomalous movement, CU to RB, HP to CU",Yes,11/1/2025,11/12/2025,
230000143924,"Only one skipped antenna, normal movement and detections otherwise",No,,,
230000226104,"CU to CD in 40 minutes twice, CF to CU in 8 minutes, HP skipping all antennas to CU in an hour and a half. All within 5 days of each other, predated",Yes,5/28/2025,5/29/2025,
230000087833,"CF to CU in 5 minutes, sequenceing maskes sense though",No,,,
230000087721,CU to CD in 30 minutes three times before disappearing. Judging that this is a predated fish because the movemnt is so fast.,Yes,4/7/2025,4/8/2025,
230000143416,"Fish sat on Cu antenna for months, still around in november of 2025",No,,,
230000294272,Big skip from CF to RB in one day skipping every antenna. Tag disappears shortly after,Yes,5/22/2025,5/24/2025,
230000087498,"No abnormal sequencing, reletively slow moving tag",No,,,
230000143938,A few months after release saw movement from CF to RB and after a few months back again from RB to CF,No,,,
230000144396,Stayed on CU for the vast majority of detections. No sequencing problems.,No,,,
230000226154,RB to CF and back again over the course ofa few months,No,,,
230000226201,"CU to CD in 40 minutes on last day of detection, Judging predated because the movement is so fast (CF to RB in 3 and a half hours)",Yes,10/16/2025,10/16/2025,
230000272794,"CF to CD in 8 minutes, CD to HP in 30 minutes, avian predation",Yes,10/27/2024,11/3/2025,
230000294097,"Skipped from RB to CF. Sticks around only CF and CU. Consistently saw the fish reaching both antennas in roughly 5 minutes. Predation date in a range of three days, 5/9 to 5/12",Yes,5/12/2025,5/14/2025,
230000294252,"Fish stuck on CU antenna for multiple hours. No anomalous movement, all sequences make sense",No,,,
230000087723,"Fish on CU antenna for mutliple hours. No anomalous movement, all sequencing makes sense",No,,,
230000087763,Hung around CF for whole history,No,,,
230000087876,"Exploratory behavior from a very large fish, no ",No,,,
230000087904,"Lots of movement but no anomalies, all sequencing checks out",No,,,
230000226086,Upstream movement from Rb to CF,No,,,
230000226240,"Fast moving fish but the time stamps check out, along with a recent recapture with no anomalous movement after the recapture",No,,,
230000226855,Fish sat on CD for a couple hours. No anomalous detections,No,,,
230000294050,Fish sat on RB from October until December 2025. No anomalous movement,No,,,
230000294163,Last day of detection saw fast movement from the fish but nothing implausible.,No,,,
230000294287,"CF to Windy Gap Biomark, skipped 3 antennas. Could've been runoff and missing the antennas. But, the last det was CU to WGB in two minutes. ",Yes,5/9/2025,5/11/2025,
230000294297,"Some exploration from this tag, but nothing that is implausible",No,,,
230000087531,From CF to CD and back again a couple times. Nothing out of the ordinary,No,,,
230000087923,Skipped antennas and inconsistent timing everywhere,Yes,5/7/2025,5/9/2025,
230000087972,"Fish moves way too fast, it's gotta be predation. Pred event in december is debatable though. But it all perfectly lines up, even dropping the tag around CU and picking it up on mobile runs.",Yes,12/3/2024,12/15/2025,"All phases, tagged fish, movement, swallowed, evacuated in the river by CU"
230000143610,Lives around CU or CF with one case of exploration,No,,,
230000144228,In between HP and RB for its whole history. ,No,,,
230000144402,Second to last detection is a recapture,No,,,
230000144449,The last handful of detections are suspisous. CU to CD in 40 minutes. But the tag is picked up a month and a half after that event with that beign the only weird detection. ,No,,,
230000226112,CD to CF with 5 days in between detections. All other dections had correct sequencing with the tag reading a month and a half later.,No,,,
230000226290,"Last detection was CU to CD in 53 minutes, want to say its predated but its hard to say with such a recent tag",Maybe,11/20/2025???,,
230000226629,"Fast moving fish, but all the sequencing works out",No,,,
230000226711,From CD to CF and all the way down to RB,No,,,
230000228896,Bounced between HP and RB after a recapture,No,,,
230000294024,"CD to HP in one hour and HP to RB in 2 hours. Detections are recent so it could very well be just a fast fish, its large enough that I feel cofortable saying it wasn't predation",No,,,
230000294060,"12,000 detections and nearly all of them are on RB. Most recent detection December 2025. No anomalous movement or sequencing problems",No,,,
230000294153,"CD to HP in one hour, but a detection at red barn two weeks later. No other probelmatic sequencing past that, no predation",No,,,
230000294172,"CU to CD in 35 minutes, CD to HP in 45 minutes. Considering this as a predated tag ",Yes,10/21/2025,10/22/2025,
230000087546,"CU to CD in one hour, but all other detectins are correctly sequenced.",No,,,
230000087788,Lived in CD unitl migrating up to the area around CU and CF and settling there,No,,,
230000087831,CD to CF with 9 days in between detections. All other detections correctly sequenced with no other anomolous times.,No,,,
230000142778,This fish had its first detection three years after release. Whoever put that tag in nailed it. No anomolous movement and all correct sequencing,No,,,
230000142887,Recent recapture followed by detections at HP and HP only,No,,,
230000144360,"Started at CF and migrated to HP and RB, settled there",No,,,
230000144440,Hung around RB and HP for the whole history,No,,,
230000144498,Migrated upstream from HP to the CRCC,No,,,
230000224261,CD to CF in 1 and a half days. No other anomalalous movements,No,,,
230000226219,Moved upstream from release to CF,No,,,
230000226594,"CD to HP in one hour, HP to RB in one hour. Hard to say if its predation or not. Maybe give this one another season since the detections are so recent",Maybe,,,
230000272271,In between Rb and HP for whole history,No,,,
230000272280,"HP to CF in three days, CF to WG biomark in one day. This was before the CRCC existed",Maybe,11/2/2021???,,
230000272468,"No anomalies, all sequencing checks out",No,,,
230000272693,"Fish stayed near HP and RB for it's whole history, then skips to CF in April and HP 7 days later. Considering the time it took and that the fish had mirgated along this path before, im saying no",No,,,
230000272909,"Skipped from HP to CU, and travelled CU to CD in an hour. All other sequencing checks and given that theres history after the event I'm saying no predation",No,,,
230000294137,Moved pretty fast through the connectivity channel but no anomolous movement,No,,,
230000294146,"No anomalies, all sequencing checks out",No,,,
230000294151,"Last detections are CU to CD in an hour. Very recent readings, so the tag could come up again.",Maybe,,,
230000294161,"CU to CD in 45 minutes, Cd to HP in an hour and a half for last detections. This event was very recent but given the consistent history I'm saying predated",Yes,10/19/2025,10/19/2025,
230000294193,"No anomalies, all sequencing checks out",No,,,
230000087787,Skipped form HP to CF for it's last detections,Yes ,8/2/2025,8/2/2025,
230000087798,One fast sequence from Cu to Cd but no other anomolous movement or sequencing problems,No,,,
230000087886,This a big fish that likes to move fast downstream. While it did skip the CU antenna a couple times theres no other evidence to suggest predation,No,,,
230000087902,One fast detection near the end of the history but no other sequencing issues,No,,,
230000087980,"No anomalies, all sequencing checks out",No,,,
230000142674,"Skipped from WG Biomark to CF for last series of detections. This fish was sizeable at this point though, and there was no CRCC. ",No,,,
230000143254,"No anomalies, all sequencing checks out",No,,,
230000143396,Recaptured 6 detections before it's last. No anomolous movements and all sequencing checks out,No,,,
230000143654,Sat on WG Biomark for a thousand detections. No anomolous movements and all sequencing checks out,No,,,
230000144340,"Skipped from CD to CF in October, but showed up again in November. All other detections are in the correct sequencing",No,,,
230000224065,"Last ""detection"" is a recapture",No,,,
230000226136,Last detections saw very fast movement uncharacteristic of the tag,Yes,5/14/2025,5/14/2025,
230000226504,"No anomalies, all sequencing checks out",No,,,
230000226583,Last detections skip from RB to CF after 4 days MIA. Followed by an 8 minute trip from CF to CU,Yes,10/20/2025,10/24/2025,
230000226701,Last day of detections saw a dash from CF to WG biomark but all in reasonable time since its moving downstream.,No,,,
230000226795,"Released at Kaibab, then in one day went from CF to RB over the course of a day.",No,,,
230000228949,Fish had a nasty habit of sittin on antennas. No anamolous movement and all sequencing checks out,No,,,
230000294044,Fast movement on the last detections but the fish is so large the odds this one was predated are very low,No,,,
230000087502,Skipped from CF to CD in an hour and a half but all other detections are correct and many other detections occurred after this event.,No,,,
230000087599,"No anomalies, all sequencing checks out",No,,,
230000087678,CU to CS in 40 minutes right before some of the last detections. Last detection is HP to RB in under an hour,Yes,4/7/2025,4/13/2025,
230000087760,One fast detection from CU to CD in an hour and a half. All other detections are sound,No,,,
230000087805,"All movement and sequencing was correct, but at some point the tag was lost near sherrif rock ranch. If it was predated there's no evdence to trace back to",No,,,
230000087847,"No anomalies, all sequencing checks out",No,,,
230000087859,"Last ""detection"" is a recapture",No,,,
230000087971,"No anomalies, all sequencing checks out",No,,,
230000087974,"No anomalies, all sequencing checks out",No,,,
230000143638,"No anomalies, all sequencing checks out",No,,,
230000143642,"No anomalies, all sequencing checks out",No,,,
230000143785,Only detections were very fast. Released at Fraser River and traveled all the way downstream quickly hitting every antenna over a day and a hlaf.,Yes,11/1/2023,11/2/2023,
230000144250,Fast movement from CF to CD but the fish is large enough to count out predation,No,,,
230000144254,"No anomalies, all sequencing checks out",No,,,
230000144280,CF to CU in under 10 minutes followed by a dash to CS for the last detection ,Yes,4/6/2025,4/7/2025,
230000144329,Recent Recapture at the end of the history with no anomalous movement history ,No,,,
230000144338,"No anomalies, all sequencing checks out",No,,,
230000144373,Some fast movement but nothing pointing to predation,No,,,
230000144456,"No anomalies, all sequencing checks out",No,,,
230000224049,"No anomalies, all sequencing checks out",No,,,
230000224236,This fish has been recapture 5 times all at the fraser ranch shocking area. Maybe a potential ghost tag? Not sure of the criteria for that,Ghost Tag?,,,Maybe a ghost tag?
230000224245,Skips from CF to Hp over two days after living around or above confluence for a season. Considering this fish was 400mm at release and this is a year later I'm saying it's too large for predation,No,,,
230000224347,Skips from CF to HP but is recaptured three years later,No,,,
230000224369,Skips for CF to HP during a runoff. All other detections sequence corrrectly,No,,,
230000224371,CF to WG Biomark over 12 hours. Rest of the sequences are sound and the fish is too large for predation,No,,,
230000224472,Hung around HP and RB for whole history,No,,,
230000226024,From Rb to WG biomark and back again,No,,,
230000226047,Downstream movement from WG dam to RB,No,,,
230000226055,Upstream movement from HP to CF,No,,,
230000226081,Fish released at Fraaser Ranch and ends up at CD for it's first detection. Dissappears shortly after =,Yes,10/20/2025,10/22/2025,
230000226083,Very fast movement. CU to CD in 45 minutes and HP to RB 45 minutes. Want to judge predated but tag shows up a couple months later,No,,,
230000226164,HP to CF in three days shortly before disappearing,Yes,5/16/2025,5/20/2025,
230000226175,Pretty fast movement but the sequencing checks out. No solid evidence of predation,No,,,
230000226182,All sequencing checks out even though the fish moved pretty fast,No,,,
230000226267,Fish moves fast but it correlates with where it was released and gets there in a believable amount of time,No,,,
230000226515,Solid downstream movement from CF to RB,No,,,
230000226635,Upstream movement from CS to Grandby Diversion,No,,,
230000226653,CF to CU in 15 minutes and CU to CD in an hour and fifteen minutes. Last detections were in November 2025 so a bit early to judge if these tags are gone,Maybe,11/5/2025???,,
230000226852,Moved extremely fast downstream all the way to RB but was detecting at RB for the next few months. No predation,No,,,
230000226894,Slow downstream movement from fraiser ricer rnach to RB,No,,,
230000228136,Skipped from CF to HP over the course of three days. But showed up again going upstream almost a year later,No,,,
230000228166,Skipped from CF to HP in 4 hours. But started detecting again almost a year later,No,,,
230000228378,tag only ever picked up in one spot over the course of 5 years. Ghost Tag,Ghost Tag,,,
230000272180,"Released in 2021, Tag moves upstream from HP to CF in one day in 2025. Somewhat anomalous but the sequencing all checks out ",No,,,
230000272194,The last week of this tags history saw it darting between HP and RB for 7 days. Nothing implausible,No,,,
230000272235,"Fish skipped from HP to CF twice in a row, but the gaps in between detections leaves enough time to make the trip. Also has a random RB detection three monhts after these events",No,,,
230000272331,"Fish sat on Windy Gap Biomark. No anomalies, all sequencing checks out",No,,,
230000272378,Fish lived at RB for a couple years unitl migrating upstream past CF,No,,,
230000272595,"Skips from HP to CF at the end of its history, but showed back up again a month later at the CF antenna",No,,,
230000272890,"No anomalies, all sequencing checks out",No,,,
230000272952,"No anomalies, all sequencing checks out",No,,,
230000294061,"No anomalies, all sequencing checks out",No,,,
230000294270,One quick movemnet from CU to CD but all other sequencing checks out,No,,,
230000294285,"Connevctivity channel to RB and back. No anomalies, all sequencing checks out",No,,,
230000087508,"Released, went below RB. Then a few months later made his way back up to the connectivity channel. No anomalies, all sequencing checks out",No,,,
230000087695,"Fish moved to or below RB a month after release. No anomalies, all sequencing checks out",No,,,
230000087703,"Some weird movement, two skipped anennas, but other than that the sequencing checks out",No,,,
230000087742,"RR down to Cd then ended at CF. No anomalies, all sequencing checks out",No,,,
230000087797,"Released in CRCC, eventually moved down stream past RB. No anomalies, all sequencing checks out",No,,,
230000087816,"Released in RR, moved down to CD for last detections. No anomalies, all sequencing checks out",No,,,
230000087820,"Started below CD, eventually moved up to CF and back to CU. No anomalies, all sequencing checks out",No,,,
230000087827,Skipped CD/CS but all other sequencing checks out,No,,,
230000087849,Skipped CD to CU but no other evidence of predation,No,,,
230000087873,"Fish sat on CD for like 8 days. No anomalies, all sequencing checks out",No,,,
230000087882,Two skips in a very short time range. Released at upper river run and first detection is at CU. Then skips from CF to CD in 45 minutes,Yes,10/28/2024,11/2/2024,
230000087934,Quick movement at the tail end of the history but not solid evidence of predation,No,,,
230000087935,"Sat on CU for an hour, moved from CD to HP in under an hour and HP to RB in two hour on the same day. Not enough evidence for me to say predated",No,,,
230000087943,"CD to CF slowly in October a few months after release. No anomalies, all sequencing checks out",No,,,
230000087969,One really fast movement from CF to CU in 10 minutes but no other evidence,No,,,
230000087978,"Hung around HP and RB for its whole history. No anomalies, all sequencing checks out",No,,,
230000087991,"Fish found a home at CU and never really left. No anomalies, all sequencing checks out",No,,,
230000142592,Fish sat on HP for weeks. No obvious anomalous movement,No,,,
230000143099,"Only 4 detetctions. CF to Hp and HP to RB. Lost tag after this, all n one day in a short amount of time . Predated",Yes,5/30/2025,5/30/2025,
230000143239,Only 4 detections. CF to HP in one day. Extremely limited evidence but it’s a maybe with what I have,No,,,
230000143262,"Back and forth between Rb and HP a couple times but no anomalies, and all sequencing checks out",No,,,
230000143559,"Starts at CF and goes downstream to HP hitting every antenna on the way. No anomalies, all sequencing checks out",No,,,
230000143663,"Goes between HP and RB. No anomalies, all sequencing checks out",No,,,
230000143674,"In between CD and CU befroe going u pto CF. No anomalies, all sequencing checks out",No,,,
230000143691,"Goes between HP and RB for whole history. No anomalies, all sequencing checks out",No,,,
